满眼游丝兼落絮，红杏开时，一霎清明雨。  ──冯延巳《鹊踏枝·清明》
一生傲岸苦不谐，恩疏媒劳志多乖。  ──李白《答王十二寒夜独酌有怀》
顽老情怀，都无欢事，良宵爱幽独。  ──吴文英《一寸金·秋感》
彩线轻缠红玉臂，小符斜挂绿云鬟。  ──苏轼《浣溪沙·端午》
松花酿酒，春水煎茶。  ──张可久《人月圆·山中书事》
去年射虎南山秋，夜归急雪满貂裘。  ──陆游《三月十七日夜醉中作》
名播兰簪妃后里，晕生莲脸君王侧。  ──张琼英《满江红·题南京夷山驿》
榴叶拥花当北户，竹根抽笋出东墙。  ──汤允绩《浣溪沙·燕垒雏空日正长》
五更鼓角声悲壮，三峡星河影动摇。  ──杜甫《阁夜》
短篱残菊一枝黄。正是乱山深处、过重阳。  ──吕本中《南歌子·驿路侵斜月》
孤之有孔明，犹鱼之有水也。  ──陈寿《隆中对》
登鸾车，侍轩辕，遨游青天中，其乐不可言。  ──李白《飞龙引二首·其一》
丹枫万叶碧云边，黄花千点幽岩下。  ──张抡《踏莎行·秋入云山》
思尔为雏日，高飞背母时。  ──白居易《燕诗示刘叟》
尊前故人如在，想念我、最关情。  ──周邦彦《绮寮怨·上马人扶残醉》
故人宿茅宇，夕鸟栖杨园。  ──李白《之广陵宿常二南郭幽居》
是无猫邪，是不会蓄猫也。  ──乐钧《世无良猫》
初惊河汉落，半洒云天里。  ──李白《望庐山瀑布水二首》
初惊河汉落，半洒云天里。  ──李白《望庐山瀑布水二首》
西风乱叶溪桥树。秋在黄花羞涩处  ──张榘《青玉案·被檄出郊题陈氏山居》
忆与君别年，种桃齐蛾眉。  ──李白《独不见》
九日黄花才过了，一尊聊慰秋容老。  ──赵可《凤栖梧·霜树重重青嶂小》
国亡身殒今何有，只留离骚在世间。  ──张耒《和端午》
纱窗日落渐黄昏，金屋无人见泪痕。  ──刘方平《春怨》
登车宿迁北，万顷铺琼田。  ──陆文圭《宿迁道中遇雪》
西北望乡何处是，东南见月几回圆。  ──白居易《八月十五日夜湓亭望月》
壮志饥餐胡虏肉，笑谈渴饮匈奴血。  ──岳飞《满江红·写怀》
荷尽已无擎雨盖，菊残犹有傲霜枝。  ──苏轼《赠刘景文 / 冬景》
寒夜客来茶当酒，竹炉汤沸火初红。  ──杜耒《寒夜》
听元宵，往岁喧哗，歌也千家，舞也千家。  ──王磐《古蟾宫·元宵》
红酥手，黄縢酒，满城春色宫墙柳。  ──陆游《钗头凤·红酥手》
北风夜卷赤亭口，一夜天山雪更厚。  ──岑参《天山雪歌送萧治归京》
桐叶落，蓼花残。雁声天外寒。  ──张淑芳《更漏子·秋》
纷纷红紫已成尘，布谷声中夏令新。  ──陆游《初夏绝句》
十日雨丝风片里，浓春艳景似残秋。  ──王士祯《秦淮杂诗二十首·其一》
日日思君不见君，共饮长江水。  ──李之仪《卜算子·我住长江头》
寒日萧萧上琐窗，梧桐应恨夜来霜。  ──李清照《鹧鸪天·寒日萧萧上琐窗》
时人不识凌云木，直待凌云始道高。  ──杜荀鹤《小松》
霜殒芦花泪湿衣，白头无复倚柴扉。  ──与恭《思母》
黄河水，水阔无边深无底，其来不知几千里。  ──贡泰父《黄河行》
世间珍果更无加，玉雪肌肤罩绛纱。  ──丘浚《咏荔枝》
